@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
107,12,1,95,106,0.472637,0.923077,0.11215,0.923077,0.88785,0.2,0.5,1.846154,0.000002
108,12,1,94,107,0.467662,0.923077,0.113208,0.923077,0.886792,0.201681,0.495327,1.86357,0.000002
109,12,1,93,108,0.462687,0.923077,0.114286,0.923077,0.885714,0.20339,0.490654,1.881319,0.000002
110,12,1,92,109,0.457711,0.923077,0.115385,0.923077,0.884615,0.205128,0.485981,1.899408,0.000002
111,12,1,91,110,0.452736,0.923077,0.116505,0.923077,0.883495,0.206897,0.481308,1.917849,0.000002
112,12,1,90,111,0.447761,0.923077,0.117647,0.923077,0.882353,0.208696,0.476636,1.936652,0.000002
113,12,1,89,112,0.442786,0.923077,0.118812,0.923077,0.881188,0.210526,0.471963,1.955826,0.000002
114,12,1,88,113,0.437811,0.923077,0.12,0.923077,0.88,0.212389,0.46729,1.975385,0.000002
115,12,1,87,114,0.432836,0.923077,0.121212,0.923077,0.878788,0.214286,0.462617,1.995338,0.000002
116,12,1,86,115,0.427861,0.923077,0.122449,0.923077,0.877551,0.216216,0.457944,2.015699,0.000002
117,11,2,86,115,0.427861,0.846154,0.113402,0.846154,0.886598,0.2,0.453271,1.866772,0.000002
118,11,2,85,116,0.422886,0.846154,0.114583,0.846154,0.885417,0.201835,0.448598,1.886218,0.000003
119,11,2,84,117,0.41791,0.846154,0.115789,0.846154,0.884211,0.203704,0.443925,1.906073,0.000003
120,11,2,83,118,0.412935,0.846154,0.117021,0.846154,0.882979,0.205607,0.439252,1.92635,0.000003
